q_pip,q_dip,q_linkage_base,q_linkage_distal
5.235987755982988295e-02,-1.448920762476029189e-01,-1.167627149516463625e-01,8.048923885578673776e-02
5.410520681182420799e-02,-1.493643257883254805e-01,-1.204794229096153302e-01,8.299010969053455256e-02
5.585053606381853997e-02,-1.538180337903938266e-01,-1.241864514602912806e-01,8.548211839392116929e-02
5.759586531581287194e-02,-1.582535059899754515e-01,-1.278839109315552669e-01,8.796546037423347286e-02
5.934119456780719698e-02,-1.626710381858638144e-01,-1.315719080493913395e-01,9.044032470427998405e-02
6.108652381980152896e-02,-1.670709166741599638e-01,-1.352505460974189333e-01,9.290689439654276072e-02
6.283185307179585399e-02,-1.714534186592686638e-01,-1.389199250677388697e-01,9.536534666332574517e-02
6.457718232379018597e-02,-1.758188126427304709e-01,-1.425801418036343193e-01,9.781585316288676779e-02
6.632251157578451795e-02,-1.801673587913410479e-01,-1.462312901346751737e-01,1.002585802324507114e-01
6.806784082777884992e-02,-1.844993092858810968e-01,-1.498734610046987825e-01,1.026936891089613724e-01
6.981317007977316802e-02,-1.888149086516750508e-01,-1.535067425931204710e-01,1.051213361383274147e-01
7.155849933176750000e-02,-1.931143940721375962e-01,-1.571312204299974979e-01,1.075416729739075983e-01
7.330382858376183197e-02,-1.973979956862983443e-01,-1.607469775052035033e-01,1.099548467648565619e-01
7.504915783575616395e-02,-2.016659368714006639e-01,-1.643540943721282233e-01,1.123610003350283826e-01
7.679448708775049592e-02,-2.059184345113225234e-01,-1.679526492461640430e-01,1.147602723529095314e-01
7.853981633974482790e-02,-2.101556992518265332e-01,-1.715427180983510880e-01,1.171527974932207172e-01
8.028514559173914600e-02,-2.143779357432880062e-01,-1.751243747444339860e-01,1.195387065905930690e-01
8.203047484373347797e-02,-2.185853428717488001e-01,-1.786976909296145166e-01,1.219181267858675533e-01
8.377580409572780995e-02,-2.227781139788387321e-01,-1.822627364092213043e-01,1.242911816653444745e-01
8.552113334772214193e-02,-2.269564370713772483e-01,-1.858195790255874336e-01,1.266579913935119706e-01
8.726646259971647390e-02,-2.311204950210550280e-01,-1.893682847812763193e-01,1.290186728394950855e-01
8.901179185171079200e-02,-2.352704657549189449e-01,-1.929089179089347184e-01,1.313733396976952683e-01
9.075712110370512398e-02,-2.394065224370431899e-01,-1.964415409378985622e-01,1.337221026028494464e-01
9.250245035569945595e-02,-2.435288336419687560e-01,-1.999662147577794258e-01,1.360650692398888140e-01
9.424777960769378793e-02,-2.476375635202927583e-01,-2.034829986791582002e-01,1.384023444488287069e-01
9.599310885968811990e-02,-2.517328719568707740e-01,-2.069919504915667119e-01,1.407340303249924318e-01
9.773843811168245188e-02,-2.558149147220314390e-01,-2.104931265188980660e-01,1.430602263148159636e-01
9.948376736367676998e-02,-2.598838436161301502e-01,-2.139865816723700576e-01,1.453810293074373483e-01
1.012290966156711020e-01,-2.639398066078437743e-01,-2.174723695011802072e-01,1.476965337223345998e-01
1.029744258676654339e-01,-2.679829479664856962e-01,-2.209505422409705488e-01,1.500068315931804008e-01
1.047197551196597659e-01,-2.720134083887266740e-01,-2.244211508602251826e-01,1.523120126481609660e-01
1.064650843716540979e-01,-2.760313251198969198e-01,-2.278842451046809714e-01,1.546121643868696438e-01
1.082104136236484160e-01,-2.800368320702202318e-01,-2.313398735398712880e-01,1.569073721539973043e-01
1.099557428756427480e-01,-2.840300599262457482e-01,-2.347880835919022857e-01,1.591977192099864880e-01
1.117010721276370799e-01,-2.880111362576398548e-01,-2.382289215865216470e-01,1.614832867987550102e-01
1.134464013796314119e-01,-2.919801856196588830e-01,-2.416624327866019328e-01,1.637641542126884175e-01
1.151917306316257439e-01,-2.959373296514447027e-01,-2.450886614280789466e-01,1.660403988549914445e-01
1.169370598836200620e-01,-2.998826871703710317e-01,-2.485076507544454749e-01,1.683120962995459102e-01
1.186823891356143940e-01,-3.038163742626398545e-01,-2.519194430498554738e-01,1.705793203483989551e-01
1.204277183876087259e-01,-3.077385043703060319e-01,-2.553240796709230764e-01,1.728421430869917508e-01
